speaker,utterance,semantic,tone,topics,feature_text,topic
Karen (HR),"Sophia, you've mentioned feeling overly scrutinized. Can you elaborate?",complaint,neutral,"feeling, scrutinization","complaint feeling, scrutinization",0
Sophia (S),"Yes. After declining the drink invite, I noticed a shift. Josh began nitpicking my work - he questioned my email tone, presentation slides, even suggested that I ""smile more"" during pitches. None of this came up before. It was demoralizing.",Complaint,Frustration,"Workplace Issues, Personal Demotivation","Complaint Workplace Issues, Personal Demotivation",0
Karen (HR),"We also found that Sophia was assigned 12 high-priority campaigns over six months, while others handled around 8. Her completion rate was 75%, which is lower than the team average of 90%. Any thoughts on this, Josh?",Complaint,Neutral,"Workload, Performance","Complaint Workload, Performance",0
Josh (M),"Sophia's role includes more high-stakes tasks. That said, I wasn't tracking the cumulative load as closely as I should have. That's on me.",Justification,Neutral,"Sophia's workload, Tracking responsibilities","Justification Sophia's workload, Tracking responsibilities",2
Sophia (S),"I flagged being overworked multiple times, but the only response I got was ""just push through."" I even skipped two of my approved leave days because I didn't feel like I could afford to be out.",complaint,frustration,"work overload, absence management","complaint work overload, absence management",0
Karen (HR),"Were those leave requests discussed, Josh?",complaint,neutral,"leave requests, discussions","complaint leave requests, discussions",0
Josh (M),"Yes, I approved them, but I did mention it would be tough timing. I didn't intend for her to cancel them entirely.",Justification,Neutral,"Approval, Timing, Cancellation","Justification Approval, Timing, Cancellation",0
Sophia (S),"But when a leader tells you it's bad timing, it doesn't feel like a real approval. It feels like a warning.",complaint,denial,"approval, timing","complaint approval, timing",0
Karen (HR),That's an important distinction. Culture plays a big role here - formal approvals don't matter if the tone suggests otherwise. I also want to ask: were there any prior complaints or concerns raised about Josh's conduct?,clarification and emphasis on cultural nuances,neutral,"culture, approval process, Josh's conduct","clarification and emphasis on cultural nuances culture, approval process, Josh's conduct",1
Sophia (S),"Informally, yes. I spoke to another colleague who said she had considered raising a concern but didn't want to be ""that person."" I think people are hesitant because Josh has been with the company for years.",Justification,Neutral,"Josh's situation, Company culture","Justification Josh's situation, Company culture",1
Karen (HR),"Understood. Josh, would you be open to a third-party mediator or training on managerial conduct?",Request for feedback and suggestions,Neutral,"Managerial Conduct, Third-Party Mediation","Request for feedback and suggestions Managerial Conduct, Third-Party Mediation",0
Josh (M),"Yes, if it helps resolve things and improve my leadership. I never intended to make anyone uncomfortable.",Justification,Neutral,Leadership Improvement,Justification Leadership Improvement,0
Karen (HR),Good to hear. We're considering mandatory sensitivity training and leadership coaching across the department. But we'll also need to assess whether further investigation is necessary.,Justification,Neutral,"Training, Leadership, Investigation","Justification Training, Leadership, Investigation",0
Sophia (S),Thank you. I don't want revenge - I just want to work in a place where I feel respected and safe.,Justification,Neutral,"Desire for Respect, Desire for Safety","Justification Desire for Respect, Desire for Safety",4
Karen (HR),"That's completely fair. Our next steps will involve documenting this session, reviewing past patterns more thoroughly, and deciding on immediate and long-term actions. Do either of you have final thoughts?",Justification,Neutral,"Next Steps, Review Patterns","Justification Next Steps, Review Patterns",0
Josh (M),I'm willing to learn and grow from this. I honestly didn't see some of these things the way they're being perceived.,Complaint,Neutral,"Learning, Perception","Complaint Learning, Perception",0
Sophia (S),"I appreciate the opportunity to be heard. I hope this leads to real change, not just for me, but for the rest of the team too.",Justification,Positive/Nurturing,"Opportunity, Change","Justification Opportunity, Change",0
Karen (HR),"Thank you both for your honesty. We'll follow up in writing with next steps, and you're welcome to add anything further before the report is finalized.",positive,neutral,"reporting, team collaboration","positive reporting, team collaboration",0
